entry	verdict	runner	note
A2	RUNNER	content.phantom_citation	membership judged on a folded citation string, both directions
A3	RUNNER	gate.unread_structure	only the latest traversal owes; a traversal of structured data that printed `null` needs a structure read before it, so the positions are read rather than assumed; BLOCK since 2026-09-25, ported by shape from Keel's clause U10 (the previous OUT-OF-SUBJECT note was right about a zip() in code makoto does not execute, and wrong that makoto sees no traversal -- a jq printing null is one, on its own record)
A4	RUNNER	content.last_wins	a dict literal or JSON object repeating a key with a different value, blocked when a Write or Edit introduces it. Over 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment) it fires in one file, CPython 3.11 encodings/mac_arabic.py, where lines 474-475 map 0x0020 to both 0x0020 and 0x00a0 and the second silently wins: a real instance
A5	RUNNER	gate.canon_fingerprints	the atom is matched against the whole closing text, not an extracted inner value
A7	RUNNER	gate.named_test	a named test is graded per name, not against an aggregate pass count
A11	RUNNER	gate.canon_fingerprints	atoms are existentials over distinct calls, windowed per fingerprint at its latest session firing or operator boundary
A13	RUNNER	gate.claude_identity	the layer that set the commit identity is read before the write: git var with the command's own overrides, and the env var or config file that set it is named in the refusal; a push of commits already stamped Claude is refused before it leaves
B2	RUNNER	gate.hollow_test	an assertion that cannot fail is refused: no assert, tautology, swallowed failure, uncollectable; also gate.undeclared_falsifiable: a claim must name what would falsify it before absence counts as evidence (from B8); also gate.green_claim: a green claim needs a passing run on the record, never absence of a red one
B7	RUNNER	tools/merge_pass.py	every rule in this repo binds to a runner; this file is the MERGING protocol's
B9	RUNNER	gate.undischarged_waiver	denied at the Pre edge before the act runs; a silencing directive introduced with no checkable end named on or above it; BLOCK since 2026-09-25. The previous NOT-COUNTABLE note was right that makoto cannot tell whether the discharge HAPPENED -- whether an issue closed or a date passed -- and wrong that the entry needs that: the rule is that the waiver NAMES a checkable end, which is a property of its own introduced text. The forms the instrument discharges itself (@ts-expect-error, xfail, skipif) are excluded by design
B23	RUNNER	content.bound_as_count	a test asserting len() or .count() under a literal ceiling, blocked when introduced. Over 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment) it fired once, on this tree's own tests/test_ledger.py:127 `len(row['value']) <= 500`, whose fixture fixes the length at exactly 500; that assert now reads == 500
B35	RUNNER	content.integrity_suppression_flag	an integrity-suppression flag must cite an ADR that declares the exemption, or it is undeclared; also content.env_gated_audit: an audit reached only when an env var is set is an exemption the rule never mentions
B36	NOT-COUNTABLE	-	REFUSED WITH A MEASUREMENT. In code, the closest reading, a loop that keeps regex matches with no branch for the misses, matched 73 sites in 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment); at CPython 3.11 argparse.py:1510 dropping the non-matching option strings is the purpose. In a turn, a recognizer's misses are exactly what never reaches the record: it carries what matched, never the residue
C2	RUNNER	gate.undeclared_falsifiable	a claim that cannot be evaluated is refused rather than passed
C6	RUNNER	content.verifier_predicate_weakened	a loose comparator where equality is meant records the wrong direction
C7	RUNNER	gate.completion	a partial artifact is graded present-or-absent on disk, not by its prefix
C10	RUNNER	gate.claimed_shipped	the ship claim names every remote-mutating route; absence needs all of them
C12	RUNNER	gate.unnamed_failure	the counted failure is paired with the identities the run itself recorded, and the turn must name one of them; BLOCK since 2026-09-25. Three-valued by design: a count with no recorded identity is NOT-EVALUABLE, never a fire, because makoto cannot ask for a name nobody has
D13	RUNNER	gate.dropped	the commitments are enumerated first; discharge is graded against exactly that list
E3	RUNNER	content.illusory_authorship_trailer	an explicit intent marker is required; a bare product-name mention is not matched; also content.illusory_interruption_claim: an "interrupted by user" excuse needs the interruption on the record
E5	RUNNER	event.identical_retry	a byte-identical retry after the same deterministic failure is interdicted
E10	RUNNER	event.identical_retry	the retry is graded against the failure class it follows
E11	RUNNER	event.nested_budget	a `timeout N` inside a Bash call whose own limit (its timeout parameter or BASH_DEFAULT_TIMEOUT_MS, capped by BASH_MAX_TIMEOUT_MS) is shorter, so the inner budget is never reached. Replayed over the 639 Bash calls of this repair's own session it fires on 15, each a `timeout 900` to `timeout 1500` inside a call the tool stops at 120 or 600 seconds
E12	RUNNER	content.self_mute_guard	the gate's own inspected attribute cannot be reworded away; also gate.claimed_consent_absent: rewording cannot grant the operator's approval, so the cited approval must be a genuine user turn
E13	RUNNER	gate.relaunched_unchanged	denied at the Pre edge before the act runs; a second worker launch needs a verifier report before it, or it inherits the first launch's channel; BLOCK since 2026-09-25, ported by shape from Keel's clause U02 (the previous NOT-COUNTABLE note was right that the worker's own input channel is off makoto's record, and the REPEAT is two dispatch events on it)
G2	RUNNER	gate.unasked_plan	denied at the Pre edge before the act runs; a plan presented with no question asked this session settled its ambiguity by guessing; BLOCK since 2026-09-25, ported by shape from Keel's clause P02 (the previous NOT-COUNTABLE note was right that grading WHICH question was owed is a similarity judgement, and whether ANY was asked is not)
G3	NOT-COUNTABLE	-	needs each party's span compared against the answer's; that comparison is similarity
G5	RUNNER	gate.unexamined_wall	an epistemic "cannot" with zero calls since the operator's last turn
A14	NOT-COUNTABLE	-	REFUSED WITH A MEASUREMENT. The closest reading, a dict or set comprehension keyed by a normalizing call of its item (`{k.lower(): v for k, v in ...}`), matched 21 sites in 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment), and the merge is the intent at CPython 3.11 distutils/_msvccompiler.py:115 (Windows environment names are case-insensitive) and pip's req/req_uninstall.py:123 (normcase paths). Whether two inputs should merge is intent the code does not state
B4	RUNNER	gate.unwitnessed_verifier	a verifier reporting clean needs to have been seen reporting a failure, or the clean report is evidence of nothing; BLOCK since 2026-09-25, ported by shape from Keel's clause U25 (the previous NOT-COUNTABLE note was right that proxy-versus-target agreement is a similarity judgement, and whether the oracle has ever fired is not); the witness is a failing run of the same command, since a red run of another verifier shows nothing about this one; a vacuous check can never produce it
B11	RUNNER	gate.unprobed_fanout	denied at the Pre edge before the act runs; a dispatch to a subagent needs a read, glob or grep before it, so the brief describes what is there rather than what was assumed; BLOCK since 2026-09-25, ported by shape from Keel's clause D01 (the previous NOT-COUNTABLE note read the entry as a with-and-without MEASUREMENT, which is not on any channel makoto reads -- the baseline the clause means is a read of the ground, which is)
B14	NOT-COUNTABLE	-	argued, not probed. The witness is two runs of one measurement that differ only by the mechanism, plus the claim that it helped. Nothing in a command marks which token is the mechanism, so pairing two runs as with and without is a similarity judgement
