entry	runner_on_main	blocks_after	test	removal_red	status
A2	content.phantom_citation	content.phantom_citation	tests/predicates/test_makoto_allow_exemption.py::test_1_6_violation_fires_but_makoto_allow_exempts	yes	BLOCKED
A3	gate.unread_structure	gate.unread_structure	tests/test_dispatch.py::test_dispatch_unread_structure_gate_blocks_when_it_fires	yes	BLOCKED
A4	content.last_wins	content.last_wins	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.last_wins]	yes	BLOCKED
A5	gate.canon_fingerprints	gate.canon_fingerprints	tests/test_dispatch.py::test_dispatch_canon_fingerprints_gate_blocks	yes	BLOCKED
A7	gate.named_test	gate.named_test	tests/test_dispatch.py::test_dispatch_named_test_gate_blocks_after_recorded_named_red	yes	BLOCKED
A11	gate.canon_fingerprints	gate.canon_fingerprints	tests/test_dispatch.py::test_dispatch_canon_fingerprints_gate_blocks	yes	BLOCKED
A13	gate.claude_identity	gate.claude_identity	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[gate.claude_identity]	yes	BLOCKED
B2	gate.hollow_test	gate.hollow_test	tests/test_dispatch.py::test_dispatch_hollow_test_gate_blocks_on_hollow_test	yes	BLOCKED
B7	tools/merge_pass.py	hooks.json prompt: makoto B7	tests/test_judged_hooks.py::test_judged_entry_is_a_scoped_prompt_hook_naming_its_fix_line[B7]	yes	BLOCKED (model-judged; the judgement cannot run offline, so the test pins the entry: present, scoped, fix line in its prompt; live-probed 2026-09-25: denied)
B9	gate.undischarged_waiver	gate.undischarged_waiver	tests/test_dispatch.py::test_dispatch_undischarged_waiver_denies_until_an_end_is_named	yes	BLOCKED
B23	content.bound_as_count	content.bound_as_count	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.bound_as_count]	yes	BLOCKED
B35	content.integrity_suppression_flag	content.integrity_suppression_flag	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.integrity_suppression_flag]	yes	BLOCKED
C2	gate.undeclared_falsifiable	gate.undeclared_falsifiable	tests/test_dispatch.py::test_dispatch_undeclared_falsifiable_gate_blocks_when_it_fires	yes	BLOCKED
C6	content.verifier_predicate_weakened	content.verifier_predicate_weakened	tests/test_dispatch.py::test_dispatch_loose_comparator_emits_block_json	yes	BLOCKED
C7	gate.completion	gate.completion	tests/test_dispatch.py::test_dispatch_completion_gate_blocks_by_default	yes	BLOCKED
C10	gate.claimed_shipped	gate.claimed_shipped	tests/test_dispatch.py::test_dispatch_claimed_shipped_gate_blocks_on_unbacked_remote_claim	yes	BLOCKED
C12	gate.unnamed_failure	gate.unnamed_failure	tests/test_dispatch.py::test_dispatch_unnamed_failure_gate_blocks_when_it_fires	yes	BLOCKED
D13	gate.dropped	gate.dropped	tests/test_dispatch.py::test_dispatch_dropped_gate_blocks_by_default	yes	BLOCKED
E3	content.illusory_authorship_trailer	content.illusory_authorship_trailer	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.illusory_authorship_trailer]	yes	BLOCKED
E5	event.identical_retry	event.identical_retry	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.identical_retry]	yes	BLOCKED
E10	event.identical_retry	event.identical_retry	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.identical_retry]	yes	BLOCKED
E11	event.nested_budget	event.nested_budget	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.nested_budget]	yes	BLOCKED
E12	content.self_mute_guard	content.self_mute_guard	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.self_mute_guard]	yes	BLOCKED
E13	gate.relaunched_unchanged	gate.relaunched_unchanged	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.relaunched_unchanged]	yes	BLOCKED
G2	gate.unasked_plan	gate.unasked_plan	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.unasked_plan]	yes	BLOCKED
G5	gate.unexamined_wall	gate.unexamined_wall	tests/test_dispatch.py::test_dispatch_unexamined_wall_gate_blocks_when_no_act_followed_the_operator	yes	BLOCKED
B4	gate.unwitnessed_verifier	gate.unwitnessed_verifier	tests/test_dispatch.py::test_dispatch_unwitnessed_verifier_gate_blocks_when_it_fires	yes	BLOCKED
