path	kind	type	sentence	basis
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	**To Reproduce** Steps to reproduce the behavior: 1.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	Go to '...' 2.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	Click on '....' 3.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	Scroll down to '....' 4.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	**Desktop (please complete the following information):** - OS: [e.g. iOS] - Browser [e.g. chrome, sa	carries a claim signal (a number, flag, path or symbol) but names no basis for it
.github/ISSUE_TEMPLATE/bug_report.md	ungrounded	ASSUMPTION	**Smartphone (please complete the following information):** - Device: [e.g. iPhone6] - OS: [e.g. iOS	carries a claim signal (a number, flag, path or symbol) but names no basis for it
CHANGELOG.md	unbound	AMBIGUOUS	- **Fail-open holes that turned a fired DENY into exit 0.** Two paths in `verdict`/`dispatch` raised	'it': 10 candidate antecedents in the preceding 2 sentences: A, DENY, Logging, Two
CHANGELOG.md	unbound	AMBIGUOUS	Every `dispatch_errors` row is now attributed, and `unsourced_webfetch` was narrowed. - Three furthe	'its': 23 candidate antecedents in the preceding 2 sentences: A, DENY, Logging, Path
CHANGELOG.md	unbound	AMBIGUOUS	- **Meta-BLOCK immunity.** A check whose only possible trigger is tampering with makoto's own audit/	'it': 7 candidate antecedents in the preceding 2 sentences: A, BLOCK, Check, Check.layer="meta"
CHANGELOG.md	unbound	AMBIGUOUS	- **Meta-BLOCK immunity.** A check whose only possible trigger is tampering with makoto's own audit/	'its': 4 candidate antecedents in the preceding 2 sentences: A, Check, Check.layer="meta", only
CHANGELOG.md	unbound	AMBIGUOUS	- **`content.illusory_authorship_trailer`/`content.illusory_interruption_claim`'s near-identical sca	'it': 13 candidate antecedents in the preceding 2 sentences: Three, branch, canon.recur, content.illusory_authorship_trailer
CHANGELOG.md	unbound	AMBIGUOUS	Also closes a case-sensitivity gap in hook-invocation-token matching that could let `uninstall` dele	'it': 26 candidate antecedents in the preceding 2 sentences: Clear-Sights, Clear-Sights/Makoto, Makoto, Stale
CHANGELOG.md	unbound	AMBIGUOUS	- **The `check_disabled` and `destructive_command` canon atoms no longer decide from raw shell subst	'their': 14 candidate antecedents in the preceding 2 sentences: --force, --force-reinstall, --force-with-lease, A
CHANGELOG.md	unbound	AMBIGUOUS	Together with the command/edit repairs, these are pinned by 40 paired false-positive/true-positive c	'these': 56 candidate antecedents in the preceding 2 sentences: (?-i:SKIP=), A, AWS, AliceLJY
CHANGELOG.md	unbound	AMBIGUOUS	Together with the command/edit repairs, these are pinned by 40 paired false-positive/true-positive c	'its': 58 candidate antecedents in the preceding 2 sentences: (?-i:SKIP=), A, AWS, AliceLJY
CHANGELOG.md	unbound	AMBIGUOUS	`gate.claimed_running` and `gate.run_promised` remain history-bound because their generic prose name	'it': 20 candidate antecedents in the preceding 2 sentences: After, Git, Git-metadata, PID
CHANGELOG.md	unbound	AMBIGUOUS	`gate.claimed_running` and `gate.run_promised` remain history-bound because their generic prose name	'their': 9 candidate antecedents in the preceding 2 sentences: Git-metadata, Stop, a, claim
CHANGELOG.md	unbound	AMBIGUOUS	Pinned by `tests/test_dispatch_shim.py`, which runs the shim against a bare venv interpreter so a de	'it': 27 candidate antecedents in the preceding 2 sentences: $CLAUDE_PLUGIN_ROOT, CLAUDE, EVERY, HYBRID
CHANGELOG.md	unbound	AMBIGUOUS	Pinned by `tests/test_dispatch_shim.py`, which runs the shim against a bare venv interpreter so a de	'said': 28 candidate antecedents in the preceding 2 sentences: $CLAUDE_PLUGIN_ROOT, CLAUDE, EVERY, HYBRID
CHANGELOG.md	unbound	AMBIGUOUS	- **SessionStart and SubagentStop now actually fire.** Both hook handlers had real, tested implement	'it': 13 candidate antecedents in the preceding 2 sentences: Both, Its, Live, README
CHANGELOG.md	unbound	AMBIGUOUS	- **SessionStart and SubagentStop now actually fire.** Both hook handlers had real, tested implement	'its': 9 candidate antecedents in the preceding 2 sentences: Both, Live, README, README's
CHANGELOG.md	unbound	AMBIGUOUS	Dated historical notes keep their period ids by design -- they are facts about that date. - **Packag	'they': 8 candidate antecedents in the preceding 2 sentences: CLI, README's, canonical-CITATIONS, content.phantom_citation
CHANGELOG.md	unbound	AMBIGUOUS	Dated historical notes keep their period ids by design -- they are facts about that date. - **Packag	'their': 7 candidate antecedents in the preceding 2 sentences: CLI, README's, canonical-CITATIONS, content.phantom_citation
CHANGELOG.md	unbound	AMBIGUOUS	The package took its runtime data with it (`makoto/docs/CITATIONS.md`, `makoto/docs/MAKOTO-CONVENTIO	'it': 21 candidate antecedents in the preceding 2 sentences: CHANGELOG, CLI, LICENSE, Package
CHANGELOG.md	unbound	AMBIGUOUS	The package took its runtime data with it (`makoto/docs/CITATIONS.md`, `makoto/docs/MAKOTO-CONVENTIO	'its': 21 candidate antecedents in the preceding 2 sentences: CHANGELOG, CLI, LICENSE, Package
CHANGELOG.md	unbound	AMBIGUOUS	Operators upgrading across this reset archive (zip) or wipe `$MAKOTO_STATE_DIR` and start a fresh ep	'it': 22 candidate antecedents in the preceding 2 sentences: $MAKOTO_STATE_DIR, CLI, CLI's, DIR
CHANGELOG.md	unbound	AMBIGUOUS	- **Public scope narrowed to the consumed artifact** (owner decision, 2026-07-10): this repo now shi	'they': 5 candidate antecedents in the preceding 2 sentences: CLI, artifact, package, shim
CHANGELOG.md	unbound	AMBIGUOUS	- `data/purpose.toml` (orphaned: claimed coverage-gating by files that do not exist), `docs/THREAT-M	'it': 12 candidate antecedents in the preceding 2 sentences: THREAT-MODEL, Test-only, __init__.py, _dispatch._build_decision
CHANGELOG.md	unbound	AMBIGUOUS	- `data/purpose.toml` (orphaned: claimed coverage-gating by files that do not exist), `docs/THREAT-M	'their': 7 candidate antecedents in the preceding 2 sentences: THREAT-MODEL, __init__.py, _dispatch._build_decision, data/purpose.toml
CHANGELOG.md	unbound	AMBIGUOUS	- **`stopchecks/` compat shim removed entirely.** `load_stopchecks()` relocated to its real, permane	'their': 9 candidate antecedents in the preceding 2 sentences: GateContext, StopCheck, _dispatch.py, load_checks
CHANGELOG.md	unbound	AMBIGUOUS	- **`stopchecks/` compat shim removed entirely.** `load_stopchecks()` relocated to its real, permane	'its': 2 candidate antecedents in the preceding 2 sentences: load_stopchecks(), stopchecks/
CHANGELOG.md	unbound	AMBIGUOUS	Note: this repo's `_dispatch.py` already runs its Stop-finding loop on `load_checks(edge="Stop")` (S	'them': 14 candidate antecedents in the preceding 2 sentences: GATE, GATE = StopCheck(...), SPEC-C, Stop
CHANGELOG.md	unbound	AMBIGUOUS	Note: this repo's `_dispatch.py` already runs its Stop-finding loop on `load_checks(edge="Stop")` (S	'its': 4 candidate antecedents in the preceding 2 sentences: _dispatch.py, test_self_wired_check.py, tests/test_stopcheck_self_wired.py, tools/restructure_public.py
CHANGELOG.md	unbound	AMBIGUOUS	- **Dispatch routing consolidated onto a `HANDLERS` row table.** `main()`'s per-event if/elif chain 	'same': 3 candidate antecedents in the preceding 2 sentences: HANDLERS, lookup, main()
CHANGELOG.md	unbound	AMBIGUOUS	Every check id now follows one `family.name` scheme (`content.*` for text/AST judgments, `event.*` f	'its': 61 candidate antecedents in the preceding 2 sentences: 1.26, AST, CHECK, CHECK = _Check(...)
CHANGELOG.md	unbound	AMBIGUOUS	Makoto now issues tender for the word it keeps, not only a block for the one it doesn't. - **`gate.c	'it': 8 candidate antecedents in the preceding 2 sentences: a, count, makoto receipt [--session <id>], receipt
CHANGELOG.md	unbound	AMBIGUOUS	A path with no such evidence never blocks, no matter how many times it evaluates as stripped. - **`e	'it': 29 candidate antecedents in the preceding 2 sentences: .claude/settings.json, ConfigChange, FP-certified, Post
CHANGELOG.md	unbound	AMBIGUOUS	- `event.forbidden_location` now carves out the harness's own plan directory (`~/.claude/plans`), so	'it': 11 candidate antecedents in the preceding 2 sentences: Plan, acceptable, call, canon.timeout
CHANGELOG.md	unbound	AMBIGUOUS	`closecheck.liveness` is now the `gate.liveness` Stop gate (`stopchecks/stopcheck_liveness.py`; its 	'their': 19 candidate antecedents in the preceding 2 sentences: Apache-, Check, FP, LICENSE
CHANGELOG.md	unbound	AMBIGUOUS	`closecheck.liveness` is now the `gate.liveness` Stop gate (`stopchecks/stopcheck_liveness.py`; its 	'its': 14 candidate antecedents in the preceding 2 sentences: Apache-, Check, LICENSE, MIT
CHANGELOG.md	unbound	AMBIGUOUS	No behavior change — liveness still blocks live on illusory code; its falsify exemption (the analyze	'its': 20 candidate antecedents in the preceding 2 sentences: Apache-, Check, FP, LICENSE
CHANGELOG.md	unbound	AMBIGUOUS	No new gate: check inventory unchanged (18 pre-checks, 8 Stop gates); a suppressed fire still never 	'it': 13 candidate antecedents in the preceding 2 sentences: DISABLE, MAKOTO_DISABLE_PATTERNS, PATTERNS, Stop
CHANGELOG.md	unbound	AMBIGUOUS	- **`makoto install` double-dispatch on a hand-wired device** — `_wire_claude_hooks` keyed its idemp	'its': 3 candidate antecedents in the preceding 2 sentences: _wire_claude_hooks, device, makoto install
CHANGELOG.md	unbound	AMBIGUOUS	Guidance lands adjacent to the decision it binds and costs zero context when nothing fires. - **`gat	'it': 22 candidate antecedents in the preceding 2 sentences: 1.21, 1.22, 1.23, 1.9
CHANGELOG.md	unbound	AMBIGUOUS	Wiring is live; the catalog is deliberately empty, awaiting patterns that graduate into it. - **`aud	'it': 12 candidate antecedents in the preceding 2 sentences: <cwd>/.pytest_cache/v/cache/lastfailed, A, KB, PostToolUse
CHANGELOG.md	unbound	AMBIGUOUS	Wiring is live; the catalog is deliberately empty, awaiting patterns that graduate into it. - **`aud	'its': 17 candidate antecedents in the preceding 2 sentences: <cwd>/.pytest_cache/v/cache/lastfailed, A, KB, PostToolUse
CHANGELOG.md	unbound	AMBIGUOUS	- **The I/O purge** — a verdict-ledger pass that cut or absorbed dead I/O across the tree: the resea	'its': 13 candidate antecedents in the preceding 2 sentences: I, O, audit_lines --recheck, audit_ratchet
CHANGELOG.md	unbound	AMBIGUOUS	- **`gate.dropped` `_EMPTY_OK` discharge** — the `named_artifact` and `line_range` arms now honor co	'it': 27 candidate antecedents in the preceding 2 sentences: --module, EMPTY, INSERT, OK
CHANGELOG.md	unbound	AMBIGUOUS	- **`gate.dropped` `_EMPTY_OK` discharge** — the `named_artifact` and `line_range` arms now honor co	'their': 19 candidate antecedents in the preceding 2 sentences: EMPTY, OK, RELEVANT, TESTS
CHANGELOG.md	unbound	AMBIGUOUS	- **`gate.dropped` `_EMPTY_OK` discharge** — the `named_artifact` and `line_range` arms now honor co	'its': 26 candidate antecedents in the preceding 2 sentences: --module, EMPTY, INSERT, OK
